TPR	FPR	Precision	F1	Range	Length
0.923819594755	0.000551895571603	0.997577478079	0.959282841184	47-56	20
0.921541305693	0.000543766176931	0.997607189561	0.958066803387	49-58	20
0.921214524506	0.00054557270908	0.997598409543	0.95788612656	51-60	20
0.919128999627	0.000548282507304	0.997581046885	0.956749479494	53-62	20
0.916936995486	0.000540153112632	0.997611143735	0.955574368761	55-64	20
0.916180625547	0.000547379241229	0.997577269511	0.955147951757	57-66	20
0.916353195388	0.00055234720464	0.997555794047	0.955231878317	59-68	20
0.91588321795	0.0005591217002	0.997524623795	0.954962180559	61-70	20
0.91415017615	0.000560476599312	0.997513947735	0.954014399957	63-72	20
0.916079653832	0.000560024966274	0.997521165052	0.95506736259	65-74	20
0.916373389731	0.000563638030573	0.997506010156	0.955220024686	67-76	20
0.918466258007	0.000568605993983	0.997489801696	0.956348368141	69-78	20
0.921181479217	0.000573573957394	0.997475369948	0.957811541101	71-80	20
0.924194108025	0.000597058875334	0.997380814167	0.959393736112	73-82	20
0.925405768606	0.000618285628088	0.997291490254	0.96000479931	75-84	20
0.927030495294	0.000628673187947	0.997250924258	0.960859476014	77-86	20
0.926268617807	0.000625511756685	0.99726246714	0.960455418951	79-88	20
0.92530846859	0.00062641502276	0.997255687968	0.959935854706	81-90	20
0.92163676986	0.000635899316544	0.997203186143	0.957932026061	83-92	20
0.91897662413	0.000635447683506	0.997197099486	0.956490335697	85-94	20
0.915517883927	0.000622350325424	0.997244369255	0.954635165117	87-96	20
0.913911515732	0.000634544417432	0.997185603913	0.953734268521	89-98	20
0.911673615357	0.000647190142477	0.997122651738	0.95248553084	91-100	20
0.911034739778	0.00065848096841	0.997070553842	0.952112984118	93-102	20
0.908930856405	0.00065848096841	0.997063793024	0.950959697138	95-104	20
0.908091873246	0.000657126069298	0.997067117652	0.950501822626	97-106	20
0.905934750242	0.000670675060417	0.996999721186	0.949288277621	99-108	20
0.905729135113	0.000658932601447	0.997051429218	0.949198815226	101-110	20
0.905611640754	0.000667061996119	0.997014774542	0.949117681295	103-112	20
0.904333889596	0.000674288124716	0.996978283309	0.948398965342	105-114	20
0.902042749588	0.00069551487747	0.996875564275	0.947091160722	107-116	20
0.899845237899	0.000686933849761	0.996906480527	0.945892433277	109-118	20
0.897667920552	0.000716741630224	0.996764875559	0.944624538763	111-120	20
0.895020625768	0.000745194511575	0.996626967091	0.943094998361	113-122	20
0.890875277902	0.000760550034843	0.996541739398	0.940750656468	115-124	20
0.886843752696	0.000779066989374	0.996441794986	0.938453737827	117-126	20
0.881589551814	0.000817907430583	0.996242886691	0.93541607011	119-128	20
0.87839150222	0.000843198880673	0.996113113194	0.933555763678	121-130	20
0.874370992111	0.000868038697725	0.995980744378	0.931222352027	123-132	20
0.873783520315	0.000891071982628	0.995871771749	0.93084147243	125-134	20
0.871347348207	0.000940299983696	0.995632574033	0.929353114983	127-136	20
0.868936877991	0.000978237158831	0.995444622509	0.927898654073	129-138	20
0.86018354822	0.00101843249915	0.995210310894	0.922783625961	131-140	20
0.85538463798	0.00106630560111	0.994958306196	0.919907364447	133-142	20
0.597209141795	0.000857651137867	0.994196263482	0.746187106467	135-144	20
0.581773320336	0.000819713962732	0.994305185576	0.734050019805	137-146	20
0.580144921949	0.000966946332898	0.993270469904	0.732471313323	139-148	20
0.580987576807	0.00262218141467	0.981984274251	0.730045987167	141-150	20
0.91019024907	0.000279109217063	0.998755048801	0.952418183634	1-12	24
0.93088577896	0.000321111089533	0.998599762491	0.963554582614	3-14	24
0.932470116962	0.000413695862183	0.99819982352	0.964216085487	5-16	24
0.935236741955	0.000462923863251	0.997991987541	0.965595804246	7-18	24
0.94374957546	0.000491828377639	0.997886077227	0.970063111931	9-20	24
0.943582513168	0.000526152488475	0.99773848325	0.96990511847	11-22	24
0.945172358718	0.000521636158102	0.997761614893	0.97075527197	13-24	24
0.944814368091	0.000521184525065	0.997762703058	0.970566935846	15-26	24
0.943997415124	0.000522991057214	0.99775302701	0.970131133221	17-28	24
0.943573333921	0.000521636158102	0.997757830123	0.969909410256	19-30	24
0.942453465808	0.000521184525065	0.997757111066	0.969317102553	21-32	24
0.941921069492	0.000520732892028	0.99775778649	0.969035753982	23-34	24
0.94091502404	0.000530217185811	0.997714606081	0.968482734381	25-36	24
0.939033278441	0.000536088415296	0.997684738192	0.967470909559	27-38	24
0.938306282093	0.000521184525065	0.99774722014	0.967114269847	29-40	24
0.936964276207	0.000512603497356	0.997781062197	0.966416811761	31-42	24
0.931537505485	0.000504022469647	0.997805443523	0.963533408403	33-44	24
0.927931897332	0.000497247974087	0.997826481783	0.961610792393	35-46	24
0.924662249613	0.000502215937498	0.997797068834	0.959838549999	37-48	24
0.92065459045	0.000490925111565	0.997837134432	0.957693302944	39-50	24
0.917333538948	0.000491828377639	0.997825335935	0.955887951302	41-52	24
0.91380320062	0.00047647285437	0.99788496622	0.953994999602	43-54	24
0.91380136477	0.000476021221333	0.997886962519	0.953994911429	45-56	24
0.912437328692	0.000470149991848	0.997909856802	0.953261491869	47-58	24
0.910366490609	0.000468795092736	0.99791113678	0.952130703092	49-60	24
0.910056232066	0.000467440193624	0.997916452776	0.951963405079	51-62	24
0.907082156095	0.000478731019557	0.997859251869	0.950307781521	53-64	24
0.906368010692	0.00047150489096	0.99788983909	0.949929578549	55-66	24
0.905455593558	0.000463827129326	0.997922041134	0.949442798539	57-68	24
0.904853434966	0.000475569588296	0.997868131913	0.949087267966	59-70	24
0.903895121597	0.000481440817781	0.997839586238	0.94854695602	61-72	24
0.903707864962	0.00047647285437	0.997861389671	0.948453687701	63-74	24
0.906182589906	0.00047647285437	0.997867217619	0.94981748489	65-76	24
0.907810988293	0.000489118579415	0.997814655329	0.950687362357	67-78	24
0.909520164051	0.000502667570535	0.997758466171	0.951598187549	69-80	24
0.91192329087	0.000506280634833	0.997748326812	0.952907221558	71-82	24
0.914271342208	0.000522991057214	0.997680139753	0.954156388456	73-84	24
0.916472525596	0.000541056378707	0.997605948758	0.95531970675	75-86	24
0.917140774765	0.000550089039453	0.997567847665	0.955665147136	77-88	24
0.915578466956	0.000543314543894	0.997593639046	0.954828111718	79-90	24
0.912417134349	0.000549637406416	0.997557289294	0.95308958275	81-92	24
0.909521999901	0.000546927608192	0.997561584587	0.951509639974	83-94	24
0.906911422104	0.000546024342117	0.997558611498	0.950077746589	85-96	24
0.904776329293	0.000540153112632	0.997579113988	0.948914118149	87-98	24
